restaurant_name,price_level,restaurant_rating,cuisine,trip_advisor_url,address
343. David Alan's Marketplace,,4.5,$$ - $$$,https://www.tripadvisor.com/Restaurant_Review-g46401-d5101552-Reviews-David_Alan_s_Marketplace-East_Hanover_Morris_County_New_Jersey.html,"6 Littell Rd, East Hanover, NJ 07936-1052"
344. Dante's Italian Cuisine & Brick Oven Specialty Pizza,$$ - $$$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46783-d12844112-Reviews-Dante_s_Italian_Cuisine_Brick_Oven_Specialty_Pizza-Rockaway_Morris_County_New_Jer.html,"488 Mount Hope Rd, Rockaway, NJ 07885-2816"
345. Sapori D’Italia,$$ - $$$,5.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46612-d13132712-Reviews-Sapori_D_Italia-Mendham_Morris_County_New_Jersey.html,"7 W Main St, Mendham, NJ 07945-1248"
346. Cypress Tavern,$$ - $$$,3.5,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46543-d7360337-Reviews-Cypress_Tavern-Kinnelon_Morris_County_New_Jersey.html,"174 Kinnelon Rd, Kinnelon, NJ 07405-2336"
347. Paulie G's Deli and Grill,,5.0,$,https://www.tripadvisor.com/Restaurant_Review-g46925-d5094338-Reviews-Paulie_G_s_Deli_and_Grill-Whippany_Morris_County_New_Jersey.html,"55 Parsippany Rd, Whippany, NJ 07981-1143"
348. Bill & Harry,$$ - $$$,4.0,"Chinese, Asian",https://www.tripadvisor.com/Restaurant_Review-g46401-d1144802-Reviews-Bill_Harry-East_Hanover_Morris_County_New_Jersey.html,"319 Route 10 East, East Hanover, NJ 07936"
349. Anthony & Sons Bakery,$$ - $$$,4.5,Italian,https://www.tripadvisor.com/Restaurant_Review-g46392-d10625734-Reviews-Anthony_Sons_Bakery-Denville_Morris_County_New_Jersey.html,"20 Luger Rd, Denville, NJ 07834-2639"
350. Shenanigans,$$ - $$$,4.0,"Bar, Pub",https://www.tripadvisor.com/Restaurant_Review-g46783-d4643625-Reviews-Shenanigans-Rockaway_Morris_County_New_Jersey.html,"75 Maple Ave, Rockaway, NJ 07866-3017"
351. Vitale's Delicatessen,$$ - $$$,4.5,Italian,https://www.tripadvisor.com/Restaurant_Review-g46715-d4637048-Reviews-Vitale_s_Delicatessen-Parsippany_Morris_County_New_Jersey.html,"1541 US Highway 46, Parsippany, NJ 07054-2911"
352. Boonton Thai Cuisine,$$ - $$$,4.0,"Asian, Thai",https://www.tripadvisor.com/Restaurant_Review-g46315-d10129262-Reviews-Boonton_Thai_Cuisine-Boonton_Morris_County_New_Jersey.html,"315 Main St, Boonton, NJ 07005-1739"
353. Applebee's Grill + Bar,$$ - $$$,3.5,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46335-d4656102-Reviews-Applebee_s_Grill_Bar-Butler_Morris_County_New_Jersey.html,"1200 State Rt 23, Butler, NJ 07405-2036"
354. Wasabi Bistro,$$ - $$$,4.5,"Japanese, Sushi",https://www.tripadvisor.com/Restaurant_Review-g46315-d3392762-Reviews-Wasabi_Bistro-Boonton_Morris_County_New_Jersey.html,"Myrtle Ave, Boonton, NJ"
355. Caffe Margherita,$$ - $$$,4.5,Italian,https://www.tripadvisor.com/Restaurant_Review-g46332-d3665784-Reviews-Caffe_Margherita-Budd_Lake_Morris_County_New_Jersey.html,"100 US Highway 46, Budd Lake, NJ 07828-1706"
356. Moe's Southwest Grill,$,4.0,"Mexican, Southwestern",https://www.tripadvisor.com/Restaurant_Review-g46748-d4250810-Reviews-Moe_s_Southwest_Grill-Pompton_Plains_Morris_County_New_Jersey.html,"500 State Rt 23, Pompton Plains, NJ 07444-1853"
357. Jasper Chinese Restaurant,$$ - $$$,4.0,"Chinese, Asian",https://www.tripadvisor.com/Restaurant_Review-g46715-d4949415-Reviews-Jasper_Chinese_Restaurant-Parsippany_Morris_County_New_Jersey.html,"810 US Highway 46, Parsippany, NJ 07054-3404"
358. Brick house restaurant,$$ - $$$,4.5,"Pizza, Italian",https://www.tripadvisor.com/Restaurant_Review-g46783-d4014926-Reviews-Brick_house_restaurant-Rockaway_Morris_County_New_Jersey.html,"488 Mount Hope Rd, Rockaway, NJ"
359. Il Villaggio Restaurant,$$ - $$$,4.0,Italian,https://www.tripadvisor.com/Restaurant_Review-g46644-d2412807-Reviews-Il_Villaggio_Restaurant-Morris_Plains_Morris_County_New_Jersey.html,"22 Gibraltar Dr Powder Mill, Morris Plains, NJ 07950-1273"
360. Jashan by Dhaba,$$ - $$$,5.0,Indian,https://www.tripadvisor.com/Restaurant_Review-g46715-d17599701-Reviews-Jashan_by_Dhaba-Parsippany_Morris_County_New_Jersey.html,"252 US Highway 46, Parsippany, NJ 07054-2313"
Chef Fredy's Table,$$$$,4.5,"American, Cajun & Creole",https://www.tripadvisor.com/Restaurant_Review-g60906-d648367-Reviews-Chef_Fredy_s_Table-Morristown_Morris_County_New_Jersey.html,"78 Speedwell Ave, Morristown, NJ 07960-6830"
361. Pho Miu,$,4.0,"Asian, Vietnamese",https://www.tripadvisor.com/Restaurant_Review-g46901-d7346205-Reviews-Pho_Miu-Washington_Township_Morris_County_New_Jersey.html,"225 Pascack Rd, Washington Township, NJ 07642-1323"
362. Bottle Hill Tavern,$$ - $$$,4.0,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46588-d14969179-Reviews-Bottle_Hill_Tavern-Madison_Morris_County_New_Jersey.html,"13 Waverly Pl, Madison, NJ 07940-1820"
363. Up Thai,$$ - $$$,4.0,"Asian, Thai",https://www.tripadvisor.com/Restaurant_Review-g46644-d13425589-Reviews-Up_Thai-Morris_Plains_Morris_County_New_Jersey.html,"981 Tabor Rd, Morris Plains, NJ 07950-2700"
364. Amuse,$$ - $$$,4.0,"Bar, Pub",https://www.tripadvisor.com/Restaurant_Review-g46715-d13138508-Reviews-Amuse-Parsippany_Morris_County_New_Jersey.html,"199 Smith Rd Sheraton Parsippany Hotel, Parsippany, NJ 07054-2813"
365. Green Village Deli,$,4.5,Cafe,https://www.tripadvisor.com/Restaurant_Review-g46475-d4623019-Reviews-Green_Village_Deli-Green_Village_Morris_County_New_Jersey.html,"536 Green Village Rd, Green Village, NJ 07935-3009"
Parsippany's Best Pizza,$$ - $$$,4.5,"Pizza, Italian",https://www.tripadvisor.com/Restaurant_Review-g46715-d7140424-Reviews-Parsippany_s_Best_Pizza-Parsippany_Morris_County_New_Jersey.html,"756 Route 46 West, Parsippany, NJ 07054"
366. Landauer Cafe,,5.0,Menu,https://www.tripadvisor.com/Restaurant_Review-g46872-d4918093-Reviews-Landauer_Cafe-Towaco_Montville_Morris_County_New_Jersey.html,"632 Main Rd, Towaco, Montville, NJ 07082-1245"
367. New York Pizza and Italian Restaurant,$$ - $$$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46355-d3265659-Reviews-New_York_Pizza_and_Italian_Restaurant-Chester_Morris_County_New_Jersey.html,"57 Main St, Chester, NJ 07930-2582"
368. Stirling House Diner,$,3.5,"American, Diner",https://www.tripadvisor.com/Restaurant_Review-g46847-d2236773-Reviews-Stirling_House_Diner-Stirling_Morris_County_New_Jersey.html,"1079 Valley Rd, Stirling, NJ 07980-1523"
369. La Quinta de Reyes,$$ - $$$,4.5,Mexican,https://www.tripadvisor.com/Restaurant_Review-g46335-d8120209-Reviews-La_Quinta_de_Reyes-Butler_Morris_County_New_Jersey.html,"98 Main St, Butler, NJ 07405-1008"
370. La Famiglia Gourmet,$$ - $$$,4.5,Italian,https://www.tripadvisor.com/Restaurant_Review-g46401-d8684968-Reviews-La_Famiglia_Gourmet-East_Hanover_Morris_County_New_Jersey.html,"110 Route 10 West, East Hanover, NJ 07936"
371. White Birch,,4.0,$$$$,https://www.tripadvisor.com/Restaurant_Review-g46438-d15614479-Reviews-White_Birch-Flanders_Morris_County_New_Jersey.html,"380 US Highway 206, Flanders, NJ 07836-9547"
372. Jersey Mike's Subs,,4.0,$,https://www.tripadvisor.com/Restaurant_Review-g46748-d10661057-Reviews-Jersey_Mike_s_Subs-Pompton_Plains_Morris_County_New_Jersey.html,"500 State Rt 23, Pompton Plains, NJ 07444-1853"
373. Joe's Pizzeria,$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46639-d4974176-Reviews-Joe_s_Pizzeria-Montville_Morris_County_New_Jersey.html,"185 Changebridge Rd, Montville, NJ 07045-9563"
374. Lung Yung,$$ - $$$,4.0,"Asian, Chinese",https://www.tripadvisor.com/Restaurant_Review-g46854-d3459529-Reviews-Lung_Yung-Succasunna_Morris_County_New_Jersey.html,"275 State Route 10 E Ste 50, Succasunna, NJ 07876-1358"
375. Miller's Ale House - Rockaway,$$ - $$$,4.0,"American, Steakhouse",https://www.tripadvisor.com/Restaurant_Review-g46783-d17437900-Reviews-Miller_s_Ale_House_Rockaway-Rockaway_Morris_County_New_Jersey.html,"325 Mount Pleasant Avenue, Rockaway, NJ 07866"
376. NJ Bar and Grill,$$ - $$$,4.5,"Bar, Pub",https://www.tripadvisor.com/Restaurant_Review-g46629-d4543817-Reviews-NJ_Bar_and_Grill-Mine_Hill_Morris_County_New_Jersey.html,"100 Randolph Ave, Mine Hill, NJ 07803-3065"
377. C&J's Deli,$,4.5,American,https://www.tripadvisor.com/Restaurant_Review-g46588-d6940233-Reviews-C_J_s_Deli-Madison_Morris_County_New_Jersey.html,"10 Park Ave, Madison, NJ 07940-1431"
378. Buffalo Wild Wings,$$ - $$$,3.5,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46783-d3679045-Reviews-Buffalo_Wild_Wings-Rockaway_Morris_County_New_Jersey.html,"343 Mount Hope Ave Rockaway Mall, Rockaway, NJ 07866-1644"
379. Oink And Moo BBQ,$$ - $$$,4.0,"American, Barbecue",https://www.tripadvisor.com/Restaurant_Review-g46441-d7678196-Reviews-Oink_And_Moo_BBQ-Florham_Park_Morris_County_New_Jersey.html,"54 Broadway, Florham Park, NJ 07932-2655"
380. Caffe India,$$ - $$$,4.0,Indian,https://www.tripadvisor.com/Restaurant_Review-g60906-d2424116-Reviews-Caffe_India-Morristown_Morris_County_New_Jersey.html,"79 Washington St, Morristown, NJ 07960-6816"
381. Mario's Brick Oven Pizza & Restaurant,$$ - $$$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46644-d2434012-Reviews-Mario_s_Brick_Oven_Pizza_Restaurant-Morris_Plains_Morris_County_New_Jersey.html,"192 Speedwell Ave, Morris Plains, NJ 07950-2317"
382. Pizza Man,$$ - $$$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46748-d4231501-Reviews-Pizza_Man-Pompton_Plains_Morris_County_New_Jersey.html,"574 Newark Pompton Tpke, Pompton Plains, NJ 07444-1746"
383. The Exchange,$$ - $$$,4.0,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46783-d4082090-Reviews-The_Exchange-Rockaway_Morris_County_New_Jersey.html,"160 E Main St, Rockaway, NJ 07866-3508"
384. Ichiban Sushi,$$ - $$$,4.5,"Japanese, Sushi",https://www.tripadvisor.com/Restaurant_Review-g46563-d7375713-Reviews-Ichiban_Sushi-Ledgewood_Morris_County_New_Jersey.html,"1034 US Highway 46, Ledgewood, NJ 07852-9736"
385. The Cheesecake Factory,$$ - $$$,3.5,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46783-d13382510-Reviews-The_Cheesecake_Factory-Rockaway_Morris_County_New_Jersey.html,"301 Mount Hope Ave Rockaway Townsquare, Rockaway, NJ 07866-2130"
386. Meadow Wood Manor,$$$$,4.5,American,https://www.tripadvisor.com/Restaurant_Review-g46764-d3431910-Reviews-Meadow_Wood_Manor-Randolph_Morris_County_New_Jersey.html,"Rt. 10, Randolph, NJ"
387. The Laundromat,,4.0,"Armenian, Bar",https://www.tripadvisor.com/Restaurant_Review-g60906-d12868511-Reviews-The_Laundromat-Morristown_Morris_County_New_Jersey.html,"4 Dehart St, Morristown, NJ 07960-9391"
388. Rose's Luncheonette,$,4.5,Cafe,https://www.tripadvisor.com/Restaurant_Review-g46540-d10145222-Reviews-Rose_s_Luncheonette-Kenvil_Morris_County_New_Jersey.html,"431 US Highway 46, Kenvil, NJ 07847-2616"
389. The Canal House,$$ - $$$,4.0,"Bar, Pub",https://www.tripadvisor.com/Restaurant_Review-g46924-d5808554-Reviews-The_Canal_House-Wharton_Morris_County_New_Jersey.html,"47 Kossuth St, Wharton, NJ 07885-2239"
390. Charlie Brown's Steakhouse,$$ - $$$,3.5,"American, Steakhouse",https://www.tripadvisor.com/Restaurant_Review-g46901-d4593549-Reviews-Charlie_Brown_s_Steakhouse-Washington_Township_Morris_County_New_Jersey.html,"95 Linwood Ave, Washington Township, NJ 07676-5106"
Chef Fredy's Table,$$$$,4.5,"American, Cajun & Creole",https://www.tripadvisor.com/Restaurant_Review-g60906-d648367-Reviews-Chef_Fredy_s_Table-Morristown_Morris_County_New_Jersey.html,"78 Speedwell Ave, Morristown, NJ 07960-6830"
391. Millington Station Cafe,$,4.0,Cafe,https://www.tripadvisor.com/Restaurant_Review-g46624-d5564243-Reviews-Millington_Station_Cafe-Millington_Morris_County_New_Jersey.html,"1931 Long Hill Rd, Millington, NJ 07946-1348"
392. Gencarelli's,$$ - $$$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46733-d4908108-Reviews-Gencarelli_s-Pine_Brook_Montville_Morris_County_New_Jersey.html,"1 Hook Mountain Rd, Pine Brook, Montville, NJ 07058-9727"
